1	185351	185490	2	2	1	0	1	15
1	185560	186316	2	2	1	0	1	18
1	1223358	1223831	2	2	1	1	0	3
1	1339813	1340037	2	2	1	1	0	9
1	1615634	1616507	1	1	1	1	0	3
1	3627654	3628408	1	1	1	1	0	16
1	6186817	6192929	2	2	1	0	1	6
1	6193055	6197651	2	2	1	1	0	4
1	6197757	6199561	2	2	1	1	0	8
1	6678468	6680907	2	2	1	1	0	23
1	6871841	6887653	1	1	1	1	0	11
1	7773512	7777159	1	1	1	1	0	16
1	7777319	7778117	1	1	1	1	0	7
1	7785006	7785440	1	1	1	1	0	16
1	7820240	7820466	1	1	1	1	0	12
1	8865483	8866278	2	2	1	1	0	24
1	8870511	8871890	2	2	1	1	0	7
1	9932899	9934761	2	2	1	1	0	17
1	10103093	10105515	1	1	1	1	0	17
1	11076949	11077364	2	2	1	1	0	21
1	11087911	11088122	2	2	1	1	0	13
1	12348974	12349163	1	1	1	1	0	4
1	12572854	12578717	2	2	1	1	0	14
1	15427285	15428592	1	1	1	1	0	15
1	15736864	15737928	1	1	1	1	0	21
1	15909482	15911100	1	1	1	1	0	8
1	15922350	15928090	1	1	1	1	0	15
1	16440854	16443631	1	1	1	1	0	23
1	16969935	16970252	1	1	1	1	0	6
1	17638690	17640201	1	1	1	1	0	7
1	19081574	19084503	2	2	1	1	0	18
1	19086271	19086678	2	2	1	1	0	3
1	19198929	19199650	2	2	1	1	0	14
1	19623584	19626386	1	1	1	1	0	8
1	19655436	19656865	1	1	1	1	0	8
1	20767665	20770929	2	2	1	1	0	13
1	20773611	20776596	2	2	1	1	0	3
1	21847841	21847957	2	2	1	1	0	23
1	22078584	22081721	1	1	1	1	0	11
1	22086549	22086668	1	1	1	1	0	8
1	23019948	23030468	1	1	1	1	0	13
1	23071360	23072123	1	1	1	1	0	16
1	23079178	23079552	1	1	1	1	0	15
1	23384418	23387272	2	2	1	1	0	19
1	23397956	23408663	2	2	1	1	0	7
1	23419140	23424564	2	2	1	1	0	8
1	23694792	23695797	1	1	1	1	0	10
1	23695909	23696343	1	1	1	2	0	12
1	23804526	23808134	2	2	1	1	0	21
